ZEND_ECHO
ZEND_JMP
ZEND_JMPZ
ZEND_JMPNZ
ZEND_JMPZNZ
ZEND_FREE
ZEND_INIT_STATIC_METHOD_CALL
ZEND_INIT_FCALL_BY_NAME
ZEND_INIT_USER_CALL
ZEND_INIT_NS_FCALL_BY_NAME
ZEND_INIT_FCALL
ZEND_GENERATOR_RETURN
ZEND_THROW
ZEND_SEND_VAL
ZEND_SEND_VAL_EX
ZEND_SEND_VAR
ZEND_SEND_VAR_NO_REF
ZEND_SEND_REF
ZEND_SEND_VAR_EX
ZEND_SEND_UNPACK
ZEND_SEND_ARRAY
ZEND_SEND_USER
ZEND_BRK
ZEND_CONT
ZEND_GOTO
ZEND_UNSET_VAR
ZEND_UNSET_DIM
ZEND_UNSET_OBJ
ZEND_EXIT
ZEND_END_SILENCE
ZEND_JMP_SET
ZEND_COALESCE
ZEND_EXT_STMT
ZEND_EXT_FCALL_BEGIN
ZEND_EXT_FCALL_END
ZEND_DECLARE_INHERITED_CLASS_DELAYED
ZEND_DECLARE_FUNCTION
ZEND_TICKS
ZEND_EXT_NOP
ZEND_NOP
ZEND_ADD_INTERFACE
ZEND_ADD_TRAIT
ZEND_BIND_TRAITS
ZEND_VERIFY_ABSTRACT_CLASS
ZEND_DECLARE_CONST
ZEND_SEPARATE
ZEND_DISCARD_EXCEPTION
ZEND_FAST_CALL
ZEND_BIND_GLOBAL
