ZEND_ADD
ZEND_SUB
ZEND_MUL
ZEND_DIV
ZEND_MOD
ZEND_SL
ZEND_SR
ZEND_CONCAT
ZEND_IS_IDENTICAL
ZEND_IS_NOT_IDENTICAL
ZEND_IS_EQUAL
ZEND_IS_NOT_EQUAL
ZEND_IS_SMALLER
ZEND_IS_SMALLER_OR_EQUAL
ZEND_BW_OR
ZEND_BW_AND
ZEND_BW_XOR
ZEND_BOOL_XOR
ZEND_BW_NOT
ZEND_POST_INC_OBJ
ZEND_POST_DEC_OBJ
ZEND_POST_INC
ZEND_POST_DEC
ZEND_PRINT
ZEND_FETCH_R
ZEND_FETCH_W
ZEND_FETCH_RW
ZEND_FETCH_FUNC_ARG
ZEND_FETCH_UNSET
ZEND_FETCH_IS
ZEND_FETCH_DIM_R
ZEND_FETCH_DIM_W
ZEND_FETCH_DIM_RW
ZEND_FETCH_DIM_IS
ZEND_FETCH_DIM_FUNC_ARG
ZEND_FETCH_DIM_UNSET
ZEND_FETCH_OBJ_R
ZEND_FETCH_OBJ_W
ZEND_FETCH_OBJ_RW
ZEND_FETCH_OBJ_IS
ZEND_FETCH_OBJ_FUNC_ARG
ZEND_FETCH_OBJ_UNSET
ZEND_FETCH_LIST
ZEND_JMPZ_EX
ZEND_JMPNZ_EX
ZEND_ADD_CHAR
ZEND_ADD_STRING
ZEND_ADD_VAR
ZEND_FETCH_CLASS
ZEND_RECV
ZEND_RECV_INIT
ZEND_RECV_VARIADIC
ZEND_BOOL
ZEND_CASE
ZEND_FETCH_CONSTANT
ZEND_ADD_ARRAY_ELEMENT
ZEND_INIT_ARRAY
ZEND_CAST
ZEND_FE_RESET
ZEND_FE_FETCH
ZEND_ISSET_ISEMPTY_VAR
ZEND_ISSET_ISEMPTY_DIM_OBJ
ZEND_ISSET_ISEMPTY_PROP_OBJ
ZEND_BEGIN_SILENCE
ZEND_DECLARE_CLASS
ZEND_DECLARE_INHERITED_CLASS
ZEND_INSTANCEOF
ZEND_DECLARE_LAMBDA_FUNCTION
ZEND_POW
ZEND_ASSIGN_POW
ZEND_STRLEN
ZEND_TYPE_CHECK
ZEND_DEFINED
ZEND_QM_ASSIGN
ZEND_CATCH
