ZEND_BOOL_NOT
ZEND_ASSIGN_ADD
ZEND_ASSIGN_SUB
ZEND_ASSIGN_MUL
ZEND_ASSIGN_DIV
ZEND_ASSIGN_MOD
ZEND_ASSIGN_SL
ZEND_ASSIGN_SR
ZEND_ASSIGN_CONCAT
ZEND_ASSIGN_BW_OR
ZEND_ASSIGN_BW_AND
ZEND_ASSIGN_BW_XOR
ZEND_PRE_INC_OBJ
ZEND_PRE_DEC_OBJ
ZEND_PRE_INC
ZEND_PRE_DEC
ZEND_ASSIGN_OBJ
ZEND_ASSIGN_DIM
ZEND_ASSIGN
ZEND_ASSIGN_REF
ZEND_INIT_METHOD_CALL
ZEND_DO_FCALL
ZEND_RETURN
ZEND_RETURN_BY_REF
ZEND_NEW
ZEND_CLONE
ZEND_INCLUDE_OR_EVAL
ZEND_HANDLE_EXCEPTION
ZEND_USER_OPCODE
ZEND_YIELD
ZEND_FAST_RET
